weather,source,seed,k,method,R2,gap,recovery
w,NIST_Ground_monoSi,42,82,zero_shot,0.9121107042905717,0.07599316659975208,0.0
w,NIST_Ground_monoSi,42,82,CORAL,0.9217949888778594,0.07599316659975208,0.1274362553977221
w,NIST_Ground_monoSi,42,82,importance_weight,0.916301881269769,0.07599316659975208,0.05515202440861196
w,NIST_Ground_monoSi,42,82,few_shot_tree,0.9221241872720124,0.07599316659975208,0.13176820271460218
w,NIST_Ground_monoSi,42,82,mlp_finetune,0.9453723641224616,0.07599316659975208,0.4376927731815087
w,NIST_Ground_monoSi,42,82,within_target,0.9881038708903238,0.07599316659975208,1.0
w,NIST_Ground_monoSi,1,82,zero_shot,0.9275005601965396,0.06034434030420455,0.0
w,NIST_Ground_monoSi,1,82,CORAL,0.9015227474232987,0.06034434030420455,-0.4304929450265416
w,NIST_Ground_monoSi,1,82,importance_weight,0.930714298720044,0.06034434030420455,0.05325666843490959
w,NIST_Ground_monoSi,1,82,few_shot_tree,0.9363952614817461,0.06034434030420455,0.14739909725364556
w,NIST_Ground_monoSi,1,82,mlp_finetune,0.9544972871829943,0.06034434030420455,0.4473779454769133
w,NIST_Ground_monoSi,1,82,within_target,0.9878449005007441,0.06034434030420455,1.0
w,NIST_Ground_monoSi,2,82,zero_shot,0.9220083881850992,0.06642726017717338,0.0
w,NIST_Ground_monoSi,2,82,CORAL,0.9079537676787542,0.06642726017717338,-0.21157910877038733
w,NIST_Ground_monoSi,2,82,importance_weight,0.924980865920612,0.06642726017717338,0.04474785995364947
w,NIST_Ground_monoSi,2,82,few_shot_tree,0.9311590776472181,0.06642726017717338,0.1377550336670865
w,NIST_Ground_monoSi,2,82,mlp_finetune,0.9505384779486984,0.06642726017717338,0.4294937001391344
w,NIST_Ground_monoSi,2,82,within_target,0.9884356483622726,0.06642726017717338,1.0
w,NIST_Ground_monoSi,7,82,zero_shot,0.9097614092991386,0.08235414127527985,0.0
w,NIST_Ground_monoSi,7,82,CORAL,0.9334721375652797,0.08235414127527985,0.28791179045732207
w,NIST_Ground_monoSi,7,82,importance_weight,0.9110834258425944,0.08235414127527985,0.016052824095836818
w,NIST_Ground_monoSi,7,82,few_shot_tree,0.919197310027946,0.08235414127527985,0.11457712487422614
w,NIST_Ground_monoSi,7,82,mlp_finetune,0.942348183288132,0.08235414127527985,0.395690775040294
w,NIST_Ground_monoSi,7,82,within_target,0.9921155505744185,0.08235414127527985,1.0
w,NIST_Ground_monoSi,123,82,zero_shot,0.9272054213864648,0.05894257097597211,0.0
w,NIST_Ground_monoSi,123,82,CORAL,0.9198163687279745,0.05894257097597211,-0.12536020292536046
w,NIST_Ground_monoSi,123,82,importance_weight,0.929304611254347,0.05894257097597211,0.035614155153462855
w,NIST_Ground_monoSi,123,82,few_shot_tree,0.9340017718061123,0.05894257097597211,0.11530461442576151
w,NIST_Ground_monoSi,123,82,mlp_finetune,0.9544472638357242,0.05894257097597211,0.46217601299347016
w,NIST_Ground_monoSi,123,82,within_target,0.9861479923624369,0.05894257097597211,1.0
w,AU+US pooled,42,82,zero_shot,0.8889485871189385,0.09915528377138527,0.0
w,AU+US pooled,42,82,CORAL,0.7518913610563763,0.09915528377138527,-1.3822483366450198
w,AU+US pooled,42,82,importance_weight,0.8885326466987107,0.09915528377138527,-0.004194838685418499
w,AU+US pooled,42,82,few_shot_tree,0.8916281101156633,0.09915528377138527,0.0270235018731102
w,AU+US pooled,42,82,mlp_finetune,0.9175418805837736,0.09915528377138527,0.2883688329787895
w,AU+US pooled,42,82,within_target,0.9881038708903238,0.09915528377138527,1.0
w,AU+US pooled,1,82,zero_shot,0.9055245847289852,0.08232031577175891,0.0
w,AU+US pooled,1,82,CORAL,0.7701431771620199,0.08232031577175891,-1.6445686134431687
w,AU+US pooled,1,82,importance_weight,0.9054410278720609,0.08232031577175891,-0.0010150210934074093
w,AU+US pooled,1,82,few_shot_tree,0.9072346567021349,0.08232031577175891,0.020773389376821546
w,AU+US pooled,1,82,mlp_finetune,0.9318429258798578,0.08232031577175891,0.3197065135639515
w,AU+US pooled,1,82,within_target,0.9878449005007441,0.08232031577175891,1.0
w,AU+US pooled,2,82,zero_shot,0.9028883812925381,0.08554726706973448,0.0
w,AU+US pooled,2,82,CORAL,0.7817103885251222,0.08554726706973448,-1.4165033778184497
w,AU+US pooled,2,82,importance_weight,0.9050687228461942,0.08554726706973448,0.025486980804176645
w,AU+US pooled,2,82,few_shot_tree,0.9053531518305233,0.08554726706973448,0.028811797529148902
w,AU+US pooled,2,82,mlp_finetune,0.9302283182932646,0.08554726706973448,0.31958866644378137
w,AU+US pooled,2,82,within_target,0.9884356483622726,0.08554726706973448,1.0
w,AU+US pooled,7,82,zero_shot,0.8919712107976359,0.10014433977678261,0.0
w,AU+US pooled,7,82,CORAL,0.7865580440876243,0.10014433977678261,-1.0526123288143188
w,AU+US pooled,7,82,importance_weight,0.8901766541828446,0.10014433977678261,-0.017919700891645095
w,AU+US pooled,7,82,few_shot_tree,0.8947219078087109,0.10014433977678261,0.027467323836835738
w,AU+US pooled,7,82,mlp_finetune,0.9242344358291688,0.10014433977678261,0.3221672348476831
w,AU+US pooled,7,82,within_target,0.9921155505744185,0.10014433977678261,1.0
w,AU+US pooled,123,82,zero_shot,0.9116676601510377,0.07448033221139916,0.0
w,AU+US pooled,123,82,CORAL,0.8153657563108606,0.07448033221139916,-1.2929843487652728
w,AU+US pooled,123,82,importance_weight,0.9125605889174458,0.07448033221139916,0.011988786031105493
w,AU+US pooled,123,82,few_shot_tree,0.9129183846127042,0.07448033221139916,0.016792681027745157
w,AU+US pooled,123,82,mlp_finetune,0.934731040586754,0.07448033221139916,0.3096573249734577
w,AU+US pooled,123,82,within_target,0.9861479923624369,0.07448033221139916,1.0
