weather,source,seed,k,method,R2,zero,within,gap,recovery,gain_a
nw,Trina_monoSi,7,20,mlp,0.9850413531202354,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.8861885965424022,1.1483651505421955
nw,Trina_monoSi,7,40,gain,0.9685461736762212,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.6226371093654604,1.1246333314433845
nw,Trina_monoSi,7,40,tree,0.9291406051951403,0.9295765174716625,0.9921645894294572,0.0625880719577947,-0.006964781992583627,1.1246333314433845
nw,Trina_monoSi,7,40,mlp,0.9817231771104441,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.8331724881051763,1.1246333314433845
nw,Trina_monoSi,7,82,gain,0.969991128471522,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.64572385337437,1.0984742854639054
nw,Trina_monoSi,7,82,tree,0.930467524915648,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.014236058343295051,1.0984742854639054
nw,Trina_monoSi,7,82,mlp,0.9850102665337804,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.8856919110641217,1.0984742854639054
nw,Trina_monoSi,7,165,gain,0.9700850041446899,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.6472237505629458,1.1068480342692095
nw,Trina_monoSi,7,165,tree,0.9337161838839697,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.06614145927196399,1.1068480342692095
nw,Trina_monoSi,7,165,mlp,0.9854145876378722,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.8921519455634168,1.1068480342692095
nw,Trina_monoSi,7,247,gain,0.9700591832645457,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.6468111978298683,1.1004026512751255
nw,Trina_monoSi,7,247,tree,0.9367869024884632,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.11520382065232694,1.1004026512751255
nw,Trina_monoSi,7,247,mlp,0.9905030870800243,0.9295765174716625,0.9921645894294572,0.0625880719577947,0.973453370627022,1.1004026512751255
nw,Trina_monoSi,123,5,gain,0.9589336030387231,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.4586207846154375,1.0587737629988672
nw,Trina_monoSi,123,5,tree,0.9345688211662178,0.9348972960634028,0.9873072778645443,0.052409981801141536,-0.006267411014019118,1.0587737629988672
nw,Trina_monoSi,123,5,mlp,0.9772022617969388,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.8071929101989231,1.0587737629988672
nw,Trina_monoSi,123,10,gain,0.9619360733743764,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.5159089238680992,1.1138555267349244
nw,Trina_monoSi,123,10,tree,0.9347408786136153,0.9348972960634028,0.9873072778645443,0.052409981801141536,-0.0029844973116178873,1.1138555267349244
nw,Trina_monoSi,123,10,mlp,0.9661078906746369,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.5955085947111377,1.1138555267349244
nw,Trina_monoSi,123,20,gain,0.9602141354430508,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.4830537716213554,1.125169649906879
nw,Trina_monoSi,123,20,tree,0.9347360758930978,0.9348972960634028,0.9873072778645443,0.052409981801141536,-0.0030761348270768292,1.125169649906879
nw,Trina_monoSi,123,20,mlp,0.9737381475641959,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.7410964508281339,1.125169649906879
nw,Trina_monoSi,123,40,gain,0.9616667262309111,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.5107696901914448,1.1160321252304048
nw,Trina_monoSi,123,40,tree,0.935153615057716,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.004890652228916393,1.1160321252304048
nw,Trina_monoSi,123,40,mlp,0.9775546607935302,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.8139168010395734,1.1160321252304048
nw,Trina_monoSi,123,82,gain,0.9619444349351146,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.5160684652464949,1.1137839059520651
nw,Trina_monoSi,123,82,tree,0.9372085885678163,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.04410023482135972,1.1137839059520651
nw,Trina_monoSi,123,82,mlp,0.9779433892806936,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.8213338707237106,1.1137839059520651
nw,Trina_monoSi,123,165,gain,0.9621172130847814,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.5193651301894886,1.1122372340800635
